"id_integrate2","site","depth","mass","water","c_content","measurement_id","eac1","eac2","eac3","eac4","eac5","eac6","eac7","eac8","edc1","edc2","edc3","edc4","edc5","edc6","edc7","edc8"
1,"BB","23.0 ",0.0757,30,"53.04 ",9,16.3375823146,15.7336037393,17.9316809782,13.7649829599,22.6799924143,21.2789015076,23.7097152148,24.1162952186,12.1213128848,13.4008069067,11.297179538,11.8787645227,13.5094707894,14.4853473368,15.1804259154,13.7344719069
2,"BB","48.0 ",0.0122,30,"48.98 ",10,2.6064214447,9.8370362257,1.4777090126,1.7756789185,2.7066152063,2.9687488221,1.2169514045,2.4296147208,1.7541630893,2.5458343445,2.3406748927,1.8645453624,2.1683514798,2.7456181865,2.5952563725,2.0849892282
3,"BB","73.0 ",0.0528,30,"50.35 ",11,9.0052982475,11.213166387,8.2727264135,7.7566135796,16.7234155975,12.9536145216,15.9338909504,17.1225921357,11.6340601697,11.8176841196,10.2088766478,10.0361817152,11.2273711645,13.2965663726,12.7432727048,13.3559392872
5,"BB","290.0 ",0.0729,30,"51.54 ",12,17.4272452159,11.6216392254,12.4234292467,19.5122421042,15.2011832481,20.4765162986,15.9178843467,19.9612737298,15.3273166134,16.495207425,16.3561990836,14.9050870564,17.1605793644,18.7685263712,16.6299407241,17.4790682693
6,"pbr","15.0 ",0.0817,30,"55.53 ",24,47.1862369704,42.1226017333,40.7550989195,44.9136156239,55.150894119,56.2208864058,51.2792317578,53.0066235555,20.3302653851,21.6502623868,18.7316785132,15.077407617,17.3039440618,17.7952240806,17.7781981551,16.9805195763
7,"pbr","35.0 ",0.0734,30,"53.15 ",25,23.2302280669,23.957474078,21.6660998179,20.4301130251,32.1992089346,32.641471396,25.8616948233,37.7885612232,22.2958790284,22.0614299585,24.4819180229,20.5534618587,15.3595833848,18.8263272206,16.2348483778,21.5568355322
8,"pbr","65.0 ",0.071,30,"51.08 ",26,23.8919224892,22.7976654315,25.4231669102,26.5676706435,31.2255456976,26.9130340677,25.6419329582,25.856362419,20.263218324,22.1629840203,18.0601022209,14.7005557061,16.9502814312,18.0479337068,18.8558685122,15.891633035
9,"pbr","145.0 ",0.0785,30,"53.73 ",27,15.6894909961,15.6648076798,20.3776977185,16.3573239767,20.1741315793,19.6556021707,16.2483198567,17.5877728118,16.8978965196,15.375220743,17.0243638076,15.1881701599,16.1040299023,14.783420355,13.9495434181,16.5915620648
10,"SkpII","15.0 ",0.0763,30,"50.34 ",5,29.8520538342,29.0050360077,26.3826476808,31.744963032,33.5963843971,37.3669106218,36.5380115586,31.7372326759,15.1620685222,13.1974390032,10.7539837056,13.0419445924,15.0472672661,13.9601984188,14.8171579609,13.2513584447
11,"SkpII","35.0 ",0.0798,30,"50.88 ",6,23.0064450759,17.2050628839,18.7682060488,23.2365518571,26.0189067402,33.1103595886,28.0638425315,29.8468463997,12.5120498645,12.3975013613,14.3975784033,14.7277186611,17.5914240714,18.3490808868,13.8632198534,14.3594096859
12,"SkpII","65.0 ",0.0785,30,"49.23 ",7,17.6203334872,23.5964917302,18.189519215,22.0348712575,18.2032336556,18.7007810471,22.2794373752,20.3463407273,15.6700463096,15.8499163148,12.1921442401,12.8925510104,16.7718472821,14.2843963595,14.9693230007,12.9476537616
13,"SkpII","265.0 ",0.0808,30,"41.19 ",8,24.3385095851,24.8754199806,25.2757811044,25.9425637394,25.172254596,28.5219895691,24.8481077533,25.9780001565,13.4579321245,11.6682006347,14.8799155026,14.8759529489,13.268126431,18.285531345,13.815833762,15.6116193088
14,"Lutasa bog","15.0 ",0.0772,30,"52.90 ",1,14.4182042673,16.5583930011,22.0876982462,17.3652626706,15.510656241,22.1258323165,24.1029645475,33.8139860183,16.4366960343,19.3382993304,18.6989879577,15.8500252876,13.1477875558,15.2923231571,12.9180371583,8.5426892571
15,"Lutasa bog","35.0 ",0.0744,30,"50.19 ",2,10.5565130167,11.6257141669,11.6642676929,9.8688548183,11.7803047465,11.4030786982,10.806978868,10.2059353027,11.8173982163,11.8957544393,12.8014719422,10.8297887425,8.2835123221,9.3814253166,7.9434018399,8.4170609504
17,"Lutasa bog","65.0 ",0.0805,30,"48.55 ",3,17.0178111217,17.0778278619,18.2497000641,18.7250489744,18.0440787083,18.9433320854,16.0185525149,12.167073028,13.7686606401,16.3890212119,16.0144638047,15.4160193527,12.6715469172,11.4805759767,11.7490539671,10.3908035449
19,"Lutasa bog","195.0 ",0.0764,30,"52.04 ",4,44.1721095239,47.2662899625,39.5184386967,44.710113957,43.9890149598,46.2273134952,41.0569960898,41.2056443922,18.6544380578,16.4520988195,20.9575910167,13.4616289369,10.6635306844,15.9408739671,14.3732107867,14.2327759836
24,"MB2","15.0 ",0.0778,30,"49.92 ",5,32.0215235773,27.9367107632,23.7312211408,22.2127558573,32.6768557894,29.2349492076,30.3039083327,29.7901990139,13.5404304491,13.7333300025,12.8314331252,12.3761572297,10.9294151202,8.8039593593,8.2747117143,7.9803648717
25,"MB2","35.0 ",0.0791,30,"49.72 ",6,32.6640743275,25.6228614233,32.754671874,33.9339996049,30.2240266894,44.0568493451,32.1910821166,30.4719074323,14.6221950604,13.6621949774,12.0587283781,12.9089430721,8.4553257995,11.3445280665,10.7901305079,11.1677221137
26,"MB2","65.0 ",0.0775,30,"53.77 ",7,24.2234191493,24.578195296,26.4326512502,25.4580066401,25.5140583729,25.1791351643,25.3904601655,24.7409723053,12.2805672671,16.3038740539,16.6961044422,14.1258800572,12.2908447894,12.8407576111,12.2798515652,10.6456458429
27,"MB2","195.0 ",0.078,30,"56.60 ",8,27.3898649552,29.8320269299,31.0891520453,28.2439420513,28.972422688,27.4621543165,27.6625767817,30.3467257786,26.5400954787,27.8537703808,25.568810075,22.2718505756,18.2244390689,22.6258829053,22.3966249804,23.5604962134
28,"MB3","15.0 ",0.0821,30,"50.42 ",32,8.6243204106,10.5798650186,9.7938122106,10.0888770411,9.9337278949,10.9028125156,8.6694363137,10.5365821746,13.0601134978,14.5409911261,11.9457762488,18.9604077509,8.7960301798,11.8616802708,12.8489057559,13.2311182049
33,"degero1","15.0 ",0.0806,30,"52.57 ",17,15.9324365243,16.264067862,19.6742015131,20.8292549627,15.3340477631,14.0959513872,17.7409695697,14.7882876789,10.853900247,14.7771265944,15.8712017109,15.9147152154,10.0028745872,12.4911798729,10.6328958464,10.1382854566
35,"degero1","35.0 ",0.0855,30,"52.23 ",18,13.1499506694,18.3069825283,18.9965562361,17.9488275966,17.7585792111,19.2264705312,14.4834701354,15.1339229443,16.789683696,19.3110510445,18.9358748298,18.7694731558,10.5070702618,12.9946965822,12.1376973223,12.3813840504
37,"degero1","65.0 ",0.0763,30,"51.75 ",19,14.6815807191,15.4236514488,15.4346537308,16.8096637077,17.3198565089,15.8045323538,15.6815963848,13.3577421166,21.0682327441,23.6647093742,25.8401402936,23.1730762212,19.4342050522,17.9038495935,18.5997737195,19.0600656459
39,"degero1","195.0 ",0.0767,30,"54.74 ",20,20.3275782073,22.5942869525,23.1047020418,21.7917454918,22.1242450618,23.4288859986,22.1705961113,21.6222449204,32.9325338204,30.7281445886,32.6463285653,32.4554099737,18.9337439137,25.4711085355,27.252529967,25.843041807
