"id_90","site","peatland_type","depth","N","C","H","S","O","d15N","d13C","id_60","herb"
1,"BB","bog","23.0 ","0.968 ",47.9024650527,"5.625 ","0.395 ","39.768 ",1.3198,-27.0071645569,1,3
2,"BB","bog","48.0 ","0.478 ",44.6889877392,"5.610 ","0.008 ","44.283 ",1.7444,-24.8325117538,5,3
3,"BB","bog","73.0 ","0.788 ",45.9922203146,"5.598 ","0.008 ","41.248 ",1.7972,-25.8203983303,9,3
5,"BB","bog","290.0 ","0.755 ",47.0859656779,"5.853 ","0.008 ","41.433 ",4.4034,-25.2399665892,13,3
6,"pbr","Oceanic bog","15.0 ","1.270 ",50.1972354268,"5.495 ","0.130 ","37.320 ",3.5209,-26.7519599594,44,3
7,"pbr","Oceanic bog","35.0 ","0.910 ",48.4408791435,"5.570 ","0.120 ","39.185 ",3.2373,-26.5224886622,48,3
8,"pbr","Oceanic bog","65.0 ","0.725 ",46.612635212,"5.655 ","0.080 ","40.095 ",4.6099,-26.8555398763,52,3
9,"pbr","Oceanic bog","145.0 ","0.885 ",48.9766324876,"5.765 ","0.130 ","39.395 ",3.0111,-25.5473125381,56,3
10,"SkpII","Oceanic bog","15.0 ","0.838 ",45.9489253036,"5.598 ","0.000 ","45.435 ",1.7591,-25.4403506674,45,1
11,"SkpII","Oceanic bog","35.0 ","0.723 ",46.4756697971,"5.663 ","0.000 ","42.003 ",0.6336,-25.5935905651,49,1
12,"SkpII","Oceanic bog","65.0 ","0.423 ",44.8661750362,"5.585 ","0.000 ","43.760 ",2.6585,-25.6913657592,53,1
13,"SkpII","Oceanic bog","265.0 ","0.920 ",37.5998671691,"4.530 ","0.005 ","26.345 ",2.2047,-26.6199708425,57,1
14,"Lutasa bog","bog","15.0 ","0.510 ",46.7921797638,"5.735 ","0.020 ","44.320 ",2.0003,-26.922278315,33,1
15,"Lutasa bog","bog","35.0 ","0.675 ",45.6057632273,"5.825 ","0.020 ","44.255 ",1.7963,-24.4018998105,36,1
17,"Lutasa bog","bog","65.0 ","0.900 ",44.3625185309,"6.085 ","0.035 ","43.050 ",-0.0541,-23.5968755736,39,1
19,"Lutasa bog","bog","195.0 ","1.155 ",47.3624823746,"5.130 ","0.260 ","35.850 ",3.3412,-24.9880080298,42,1
24,"MB2","bog","15.0 ","0.655 ",45.6934724131,"5.510 ","0.040 ","44.095 ",-1.1563,-28.1732370495,34,3
25,"MB2","bog","35.0 ","0.895 ",45.5920764699,"5.590 ","0.070 ","42.975 ",-0.4092,-28.5730101044,37,3
26,"MB2","bog","65.0 ","1.435 ",49.1716852578,"5.920 ","0.120 ","38.345 ",3.5733,-27.0054470783,40,3
27,"MB2","bog","195.0 ","1.015 ",52.1274556638,"5.735 ","0.045 ","36.335 ",2.3343,-27.0319036262,43,3
33,"degero1","poor fen","15.0 ","0.950 ",46.4058998417,"6.070 ","0.075 ","42.165 ",2.0314,-24.9567741035,2,3
35,"degero1","poor fen","35.0 ","0.900 ",46.1217705348,"5.945 ","0.050 ","43.070 ",2.3148,-24.4403789439,6,3
37,"degero1","poor fen","65.0 ","0.930 ",45.6990333248,"6.175 ","0.040 ","39.840 ",1.7465,-24.1601700698,10,3
39,"degero1","poor fen","195.0 ","0.770 ",48.2462037447,"6.045 ","0.040 ","38.755 ",1.9264,-25.704502054,14,3
40,"Lutasa P frozen","bog","15.0 ","1.115 ",45.7669090621,"5.930 ","0.085 ","42.860 ",1.6289,-24.9142846708,35,1
41,"Lutasa P frozen","bog","35.0 ","0.975 ",47.7113128694,"5.140 ","0.060 ","37.845 ",2.2636,-25.3128535007,38,1
