"id_90","Na","Mg","Al","Si","P","S","Cl","K","Ca","Ti","Cr","Mn","Fe","Cu","Zn","As","Br","Rb","Sr","Ba","Pb"
1,197,332,2250,7792,263.6,6479,0,0.0481,0.1382,623.5,5.48,30.5,0.0901,27.2,86.9,249.7,43.1,4.7,20.1,64.5,392.35
2,"96","523","970","2466","135.2","1100","0.0","0.0139","0.1191","210.9","4.55","29.3","0.0677","2.8","60.4","79.90","16.3","3.0","10.7","51.6","103.32"
3,104,475,1653,4932,200.9,914,0,0.0245,0.0599,523.6,4.84,23.6,0.0395,3,14.9,28.73,59.9,3.8,8.3,50.3,112.19
4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
5,124,471,1002,1729,216.2,766,9.8,0.0338,0.0563,212.6,3.62,24.8,0.0563,3.1,1.8,3.61,63.5,5,13.1,81.3,35.35
6,566,2269,859,3300,425.6,1785,406.3,0.0277,0.0782,166.5,3.35,30.5,0.081,3.3,20.8,0.09,1954.1,7.1,31.6,42.2,0.77
7,416,1780,503,1044,214.1,1695,390.9,0.0081,0.1251,57,3.78,21.4,0.0468,2.9,8.9,0,1289.9,5.6,30.5,42.9,1.32
8,418,1534,670,2703,147.3,1165,484.5,0.0104,0.1421,119.6,4.95,21.1,0.0581,3.2,4.3,0.09,2269.2,6.7,33.5,36.2,0.8
9,241,1098,565,2364,169.2,1808,296.8,0.0077,0.2453,92.1,3.27,25.9,0.125,3,2.3,0,934.2,4.8,51.9,53.3,2.21
10,369,1002,641,3397,487.3,724,358.9,0.0403,0.1292,129.4,2.1,62.4,0.076,3.3,13.2,0.04,260.2,4.6,25,41.5,2.49
11,259,962,408,782,207.9,828,190.2,0.0072,0.114,52.3,2.65,48.8,0.0475,2.4,20.9,0,237.2,3.1,20.5,36.3,0.7
12,256,1064,305,1138,120.1,545,248.3,0.0062,0.1353,38,2.68,45.6,0.0595,1.9,6.9,0,108.6,3.5,22.8,46.7,0
13,3183,748,18393,50189,446.9,876,410,0.0943,0.4704,1519.4,2.82,58.7,0.2492,3,3.9,0.14,74.7,4.6,126.1,36.4,1.92
14,114,541,330,1403,311.8,409,0,0.1022,0.073,7.5,4.64,60.2,0.032,3.1,26.7,0.09,8.3,4,1.5,47.9,0
15,106,314,411,2836,260.3,472,0,0.0176,0.1894,74.8,4.11,32.3,0.02,1.8,15,0.45,17.8,2.7,8.8,44.2,6.67
16,107,267,236,1679,213.4,426,0,0.0108,0.1905,30.5,4.27,32.9,0.016,1.9,10.8,0.31,12.4,3.1,6.7,46.6,8.34
17,100,281,235,1310,287.2,614,0,0.0096,0.2683,13.2,3.35,53.2,0.0158,3,13,0,20.3,2.3,8.5,55.9,2.33
18,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
19,80,511,521,1194,173.9,2795,0,0.0119,0.8939,71.8,0.71,70.6,0.027,3,9.8,0,21,2,34.9,50.5,1.44
20,290,808,718,3048,288.4,707,73.8,0.0823,0.3435,139.5,2.91,36.4,0.3155,5.6,56.9,12.86,76.3,4.9,16.5,42.3,69.29
21,318,781,1369,5566,449,1317,79.5,0.0686,0.3018,323.6,3.97,28.7,0.1441,6.2,42.8,19.98,214.5,5.1,18.9,43.4,89.27
22,645,775,1543,7050,322.6,1489,1355.3,0.0283,0.1884,445.7,1.48,22.7,0.0575,6.4,19.5,0.43,2629.8,8,25.5,57.7,7.7
23,2932,1987,1136,2711,214.5,815,3284.5,0.0278,0.3001,268.9,4.24,29.8,0.0319,3.1,3.1,0.3,2110.2,7.3,52.1,50.3,3.57
24,302,835,624,1991,259.7,707,0,0.071,0.4465,110.3,4.38,48.6,0.1559,4.4,60.7,3.45,22.4,3.5,18.2,47.1,30.16
25,293,869,1108,3147,349.6,1011,36.2,0.0699,0.4337,237.5,4.76,30.1,0.5973,4.8,59.1,25.91,186.5,4.4,23.8,44.1,106.89
26,790,792,1245,6572,361.5,1670,1300.9,0.0193,0.1954,281.3,5.24,24,0.0689,2.9,23.6,0.92,2864.6,8.1,21.6,52.7,11.97
27,2801,1738,922,1553,218.1,782,3673.4,0.0213,0.2475,151.6,4.48,27.3,0.0241,2.5,2.9,0,2099.8,6.5,43.2,42.7,1.59
28,278,844,895,3577,357.2,892,54.2,0.105,0.4194,204.7,5.01,44,0.2121,5.2,66.3,8.5,56.9,4.5,19.8,48,57.67
29,305,817,958,3117,388.4,1054,81.5,0.0755,0.3532,157.2,4.55,37.6,0.5193,6.6,56.5,22.63,258.2,5.4,20.4,39.2,99.9
30,678,871,1293,5868,336,1900,1246.5,0.021,0.2396,293.2,3.79,25,0.0788,3.4,28.8,2.22,1487.3,6.8,23.9,51.1,20.03
31,3031,1726,762,1378,202.3,755,3745.6,0.0211,0.2345,132,3.9,26.5,0.0249,3.2,2.9,0.3,1748.4,6.5,40.4,42.4,0.78
32,140,320,803,9267,422.4,1555,0,0.0293,0.1,185.7,4.16,25.7,0.0945,6.4,24.1,7.06,29,3,12.1,55.4,46.8
33,71,232,573,3343,269.1,736,0,0.0067,0.111,73.9,3.88,22.5,0.0804,2.7,9,1.27,24.1,2.5,11.9,42.3,12.64
34,57,301,614,3018,257,684,0,0.0057,0.135,59.2,3.89,21.1,0.1224,4,6.6,0.47,25,2.6,15.4,49.5,7.2
35,64,447,610,906,216.7,665,0,0.0028,0.2206,38,4.37,26.6,0.3738,3.1,2.9,0,14.2,2,20.9,47.6,0.08
36,128,389,570,4233,319.8,1128,0,0.0332,0.1148,97.9,4.58,34.3,0.1382,5.7,28.8,6.21,11.7,3.7,11.3,52.5,42.45
37,96,250,547,3507,277.9,793,0,0.0095,0.1405,79.5,4.07,20.7,0.0981,4.9,10.5,2.09,22.9,2.9,14.4,44.8,22.1
38,73,263,708,2390,293.3,737,0,0.0039,0.1173,87.6,4.07,22.4,0.0982,4,4.7,0.6,27.6,2.5,13.4,46.9,8.45
39,72,475,712,973,232,737,4,0.0035,0.2367,41.1,5.22,26.3,0.4397,5,5.7,0,20.5,2.6,22.3,53.1,0
40,105,283,384,1029,300.4,970,0,0.0174,0.1908,37.4,3.84,19.6,0.028,3,7.1,0,45.2,2.7,11.9,46,2.87
41,624,449,2652,12697,244.1,855,0,0.0882,0.4126,410.9,1.06,40.1,0.0785,4.6,12.8,0.21,19.3,5.3,48.7,78.1,6.28
42,159,538,595,2248,175.4,858,0,0.0124,0.5305,151.7,2.28,66.8,0.026,1.9,23.3,0,13.4,1.6,22.9,60.6,1.99
43,223,518,1848,4091,430.4,1220,89.1,0.0536,0.1662,337.3,7.75,31.9,0.2461,12.8,107.6,183.41,73.8,6.3,17.8,52.5,342.51
44,360,287,5566,20956,528.6,1564,196,0.1095,0.0366,2237.3,7.8,25.2,0.0491,4.7,27.5,39.71,94.5,9,16.1,52.7,137.29
45,100,259,910,1327,206.5,694,0,0.0105,0.0711,209.4,3.83,22.1,0.021,2.4,14,6.4,19.8,2.7,6.1,52.1,51.76
46,100,396,961,1075,230.2,766,0,0.0098,0.0779,188.8,4.11,21.4,0.0357,5.6,8.2,0.17,27.5,3.7,7.2,46.7,2.47
47,183,493,1405,4118,386.6,1458,0,0.0597,0.1495,309.4,5.98,28.4,0.2139,10.8,85.4,33.63,55.5,7.9,11.8,50,118.64
48,150,518,1100,1765,226.9,1317,0,0.0135,0.1779,223.9,4.09,23.2,0.0919,4.8,66.9,7.29,22,2.6,11.5,45.1,49.48
49,105,635,795,1888,145.8,571,0,0.0118,0.1134,245.4,4.57,22.5,0.0488,1.6,10.8,2.8,32.5,1.8,7.1,34.7,30.38
50,152,521,779,1141,155.7,532,0,0.0161,0.0576,158.9,3.33,19.5,0.0443,2.4,13,0.49,42.8,5.4,7,43,4.86
51,869,1213,1963,8608,381.4,2077,1576.9,0.1637,0.0477,82.7,3.46,68.8,0.5098,5.6,18.8,0,280.5,0,12.6,152.7,0.15
52,577,346,10202,15430,512.5,2735,847,0.1261,0,163.2,47,15.7,0.4672,5.9,0,0,596.3,0,3.3,118.5,1.83
