Nr.,site_label,depth,Weight,water,MeasureNr.,Fe2+ umol/L  ,Fe3+ umol/L,Fe2+ umol/peat,Fe3+ umol/peat
51,T1,15.0 ,0.0757,30,1,11.4868421053,6.3511842105,4.5522491831,2.5169818536
52,T1,35.0 ,0.0788,30,2,11.2763157895,7.1530263158,4.2930136254,2.723233369
53,T1,65.0 ,0.0797,30,3,8.0394736842,0.4642105263,3.0261506967,0.1747342006
54,T1,175.0 ,0.0739,30,4,16.7763157895,4.7926315789,6.8104123638,1.9455879211
10,SkpII,15.0 ,0.0763,30,5,9.8421052632,0.4636842105,3.8697661585,0.1823135821
11,SkpII,35.0 ,0.0798,30,6,6.9342105263,-0.6690789474,2.6068460625,-0.2515334389
12,SkpII,65.0 ,0.0785,30,7,5.8947368421,0.3422368421,2.2527656721,0.1307911498
13,SkpII,265.0 ,0.0808,30,8,14.9342105263,0.2288157895,5.5448801459,0.0849563575
1,BB,23.0 ,0.0757,30,9,8.9605263158,0.585,3.5510672321,0.2318361955
2,BB,48.0 ,0.0122,30,10,2.9078947368,0.2880263158,7.1505608283,0.7082614323
3,BB,73.0 ,0.0528,30,11,3.8947368421,0.4978947368,2.2129186603,0.2828947368
5,BB,290.0 ,0.0729,30,12,4.9868421053,0.6306578947,2.0521983972,0.2595299978
55,T6,15.0 ,0.0601,30,13,4.4078947368,0.2522368421,2.2002802347,0.1259085734
56,T6,35.0 ,0.0744,30,14,8.2631578947,0.4657894737,3.3319185059,0.1878183362
57,T6,65.0 ,0.0701,30,15,12.2763157895,3.1260526316,5.2537728058,1.3378256626
58,T6,265.0 ,0.0709,30,16,19.4342105263,2.8668421053,8.2232202509,1.2130502561
75,T1-1,15.0 ,0.0791,30,17,7.0921052632,-0.4327631579,2.6897997205,-0.1641326768
76,T1-1,35.0 ,0.0791,30,18,8.6184210526,0.4061842105,3.2686805509,0.1540521658
77,T1-1,65.0 ,0.0804,30,19,9.8684210526,1.7326315789,3.6822466614,0.6465043205
78,T1-1,205.0 ,0.0789,30,20,17.5657894737,2.3418421053,6.6790074044,0.8904342606
81,Larin,15.0 ,0.0796,30,21,18.6447368421,2.0090789474,7.0269108701,0.7571905581
83,Larin,35.0 ,0.0781,30,22,10.75,-0.7680263158,4.1293213828,-0.2950165105
86,Larin,65.0 ,0.08,30,23,7.2236842105,-0.1560526316,2.7088815789,-0.0585197368
90,Larin,315.0 ,0.0816,30,24,7.0921052632,-0.3482894737,2.6073916409,-0.1280476006
60,TX,14.5 ,0.0796,30,25,36.1447368421,22.0013157895,13.6223882571,8.291953187
63,TX,34.5 ,0.078,30,26,22.5394736842,10.8839473684,8.6690283401,4.1861336032
66,TX,67.5 ,0.0784,30,27,17.9605263158,4.5939473684,6.8726503759,1.7578880236
68,TX,237.5 ,0.0801,30,28,33.5921052632,14.8817105263,12.5813128326,5.5736743544
69,DT,22.5 ,0.0812,30,29,21.2763157895,11.3727631579,7.860707804,4.2017597874
70,DT,42.5 ,0.0778,30,30,15.3947368421,5.3998684211,5.9362738466,2.0822114734
72,DT,67.5 ,0.0816,30,31,11.4605263158,2.1256578947,4.2134287926,0.7814918731
73,DT,172.5 ,0.0784,30,32,10.0789473684,0.3253947368,3.8567400644,0.1245132922
14,Lutasa bog,15.0 ,0.0772,30,1,6.4868421053,0.6793421053,2.5207935642,0.2639930461
15,Lutasa bog,35.0 ,0.0744,30,2,3.5,-0.1351315789,1.4112903226,-0.0544885399
17,Lutasa bog,65.0 ,0.0805,30,3,2.0394736842,3.1275,0.7600523047,1.1655279503
19,Lutasa bog,195.0 ,0.0764,30,4,5,-1.2127631579,1.9633507853,-0.4762158997
24,MB2,15.0 ,0.0778,30,5,9.7631578947,0.2188157895,3.7647138412,0.0843762684
25,MB2,35.0 ,0.0791,30,6,19.8947368421,9.5584210526,7.5454122031,3.6251912968
26,MB2,65.0 ,0.0775,30,7,8.4078947368,1.2925,3.2546689304,0.5003225806
27,MB2,195.0 ,0.078,30,8,3.2894736842,0.1880263158,1.2651821862,0.0723178138
43,MK,15.0 ,0.0765,30,9,11.5131578947,3.0022368421,4.5149638803,1.1773477812
44,MK,35.0 ,0.0736,30,10,4.2894736842,0.0186842105,1.7484267735,0.0076158467
45,MK,65.0 ,0.0783,30,11,2.8947368421,-0.2619736842,1.1090945755,-0.1003730591
46,MK,195.0 ,0.0788,30,12,4.5394736842,-1.0901315789,1.7282260219,-0.4150247128
47,LT,15.0 ,0.0763,30,13,12.0263157895,3.4323684211,4.7285645306,1.3495550804
48,LT,35.0 ,0.0717,30,14,7.6973684211,2.5802631579,3.2206562431,1.0796080159
49,LT,65.0 ,0.0731,30,15,5.8815789474,-0.0388157895,2.4137806898,-0.0159298726
50,LT,195.0 ,0.0768,30,16,4.8947368421,0.1596052632,1.9120065789,0.0623458059
32,degero1,15.0 ,0.0806,30,17,12.1052631579,1.0726315789,4.5056810761,0.3992425232
33,degero1,35.0 ,0.0855,30,18,10.7236842105,1.1026315789,3.7626962142,0.3868882733
34,degero1,65.0 ,0.0763,30,19,11.0921052632,-0.3498684211,4.3612471546,-0.1375629441
35,degero1,195.0 ,0.0767,30,20,22.5657894737,2.1427631579,8.8262540314,0.8381081452
40,Lutasa P frozen,15.0 ,0.079,30,21,5.8947368421,1.8486842105,2.2385076616,0.7020319787
41,Lutasa P frozen,35.0 ,0.0762,30,22,6.0263157895,0.45,2.3725652714,0.1771653543
42,Lutasa P frozen,65.0 ,0.0769,30,23,7.1578947368,-1.0898684211,2.7924166724,-0.4251762371
6,pbr,15.0 ,0.0817,30,24,9.3421052632,-0.2611842105,3.4303936095,-0.0959060749
7,pbr,35.0 ,0.0734,30,25,6.3026315789,0.2159210526,2.5760074573,0.0882511114
8,pbr,65.0 ,0.071,30,26,6.2631578947,0.8185526316,2.6464047443,0.3458673091
9,pbr,145.0 ,0.0785,30,27,8.4868421053,1.5936842105,3.2433791485,0.6090512906
62,TX,29.5 ,0.0732,30,28,9.3026315789,3.2980263158,3.8125539258,1.3516501294
64,TX,39.5 ,0.0743,30,29,9.2368421053,0.5057894737,3.7295459375,0.2042218602
65,TX,62.5 ,0.0723,30,30,9.1578947368,0.8240789474,3.7999563223,0.3419414719
67,TX,232.5 ,0.078,30,31,9.0263157895,0.1813157895,3.471659919,0.0697368421
28,MB3,15.0 ,0.0821,30,32,3.1973684211,1.7161842105,1.1683441246,0.6271075069
